title,author,sections,licensor,how_to_license,id
Fragile Vessel,(none listed),communion,JesCom (Jesuit Communications Foundation),Hangad / JesCom circle — verify,fragile_vessel
Halina At Lumapit,(none listed),entrance,JesCom (Jesuit Communications Foundation),likely Hontiveros — verify,halina_at_lumapit
Halina't Umawit,(none listed),entrance,JesCom (Jesuit Communications Foundation),likely Hontiveros — verify,halina_t_umawit
"Halina, Hesus, Halina",Eduardo Hontiveros,entrance,JesCom (Jesuit Communications Foundation),https://www.jescom.ph / Jesuit Music Ministry licensing,halina_hesus_halina
Hesus Na Aking Kapatid,Eduardo Hontiveros,communion,JesCom (Jesuit Communications Foundation),https://www.jescom.ph / Jesuit Music Ministry licensing,hesus_na_aking_kapatid
Hesus Ng Aking Buhay,Arnel Aquino,communion,JesCom (Jesuit Communications Foundation),Jesuit Music Ministry via JesCom,hesus_ng_aking_buhay
Hindi Kita Malilimutan,Manoling Francisco,communion,JesCom (Jesuit Communications Foundation),https://www.jescom.ph / Jesuit Music Ministry licensing,hindi_kita_malilimutan
Humayo't Ihayag,(none listed),recessional,JesCom (Jesuit Communications Foundation),Manoling Francisco — JesCom,halina_t_humayag
I Seek You For I Thirst,(none listed),communion,JesCom (Jesuit Communications Foundation),Manoling Francisco — JesCom,i_seek_you_for_i_thirst
Iesu Panis Vitae,Bukas Palad Ministry,communion,JesCom (Jesuit Communications Foundation),Bukas Palad Music Ministry via JesCom,iesu_panis_vitae
In Him Alone,(none listed),communion,JesCom (Jesuit Communications Foundation),Manoling Francisco — JesCom,in_him_alone
Isang Pananampalataya,Eduardo Hontiveros,entrance,JesCom (Jesuit Communications Foundation),https://www.jescom.ph / Jesuit Music Ministry licensing,isang_pananampalataya
Kaawaan Mo Kami,Arnel Aquino,meditation,JesCom (Jesuit Communications Foundation),Jesuit Music Ministry via JesCom,kaawaan_mo_kami
Kordero Ng Diyos (aquino),Arnel Aquino,communion,JesCom (Jesuit Communications Foundation),Jesuit Music Ministry via JesCom,kordero_ng_diyos_aquino
Kordero Ng Diyos (bukas Palad),Bukas Palad,communion,JesCom (Jesuit Communications Foundation),Bukas Palad Music Ministry via JesCom,kordero_ng_diyos_bukas_palad
Kordero Ng Diyos (francisco),Manoling Francisco,communion,JesCom (Jesuit Communications Foundation),https://www.jescom.ph / Jesuit Music Ministry licensing,kordero_ng_diyos_francisco
Kordero Ng Diyos (hontiveros),Eduardo Hontiveros,communion,JesCom (Jesuit Communications Foundation),https://www.jescom.ph / Jesuit Music Ministry licensing,kordero_ng_diyos_hontiveros
Love Is The Answer,(none listed),communion,JesCom (Jesuit Communications Foundation),Hangad / JesCom — verify,love_is_the_answer
Manalig Ka,Tinig San Jose,communion,JesCom (Jesuit Communications Foundation),verify with JesCom,manalig_ka
Mula Sa 'yo,Manoling Francisco,offertory,JesCom (Jesuit Communications Foundation),https://www.jescom.ph / Jesuit Music Ministry licensing,mula_sa_yo
"Narito Ako, Panginoon",Rene San Andres,offertory,JesCom (Jesuit Communications Foundation),verify — often JesCom circle,narito_ako_panginoon
One More Gift,(none listed),offertory,JesCom (Jesuit Communications Foundation),Manoling Francisco — JesCom,one_more_gift
Pag-aalaala,Manoling Francisco,entrance,JesCom (Jesuit Communications Foundation),https://www.jescom.ph / Jesuit Music Ministry licensing,pag_aalaala
Paghahandog,Rene San Andres,offertory,JesCom (Jesuit Communications Foundation),verify — often JesCom circle,paghahandog
Paghahandog Ng Sarili,Eduardo Hontiveros,offertory,JesCom (Jesuit Communications Foundation),https://www.jescom.ph / Jesuit Music Ministry licensing,paghahandog_ng_sarili
Pagkakaibigan,Hangad,communion,JesCom (Jesuit Communications Foundation),Hangad via JesCom,pagkakaibigan
Pagsibol,(none listed),communion,JesCom (Jesuit Communications Foundation),Manoling Francisco — JesCom,pagsibol
"Panginoon, Maawa Ka (bukas Palad)",Bukas Palad,meditation,JesCom (Jesuit Communications Foundation),Bukas Palad Music Ministry via JesCom,panginoon_maawa_ka_bukas_palad
"Panginoon, Maawa Ka (francisco)",Manoling Francisco,meditation,JesCom (Jesuit Communications Foundation),https://www.jescom.ph / Jesuit Music Ministry licensing,panginoon_maawa_ka_francisco
"Panginoon, Maawa Ka (hontiveros)",Eduardo Hontiveros,meditation,JesCom (Jesuit Communications Foundation),https://www.jescom.ph / Jesuit Music Ministry licensing,panginoon_maawa_ka_hontiveros
Prayer For Generosity,(none listed),communion,JesCom (Jesuit Communications Foundation),Manoling Francisco / Bukas Palad — JesCom,prayer_for_generosity
Sa Hapag Ng Panginoon,Manoling Francisco,entrance,JesCom (Jesuit Communications Foundation),https://www.jescom.ph / Jesuit Music Ministry licensing,sa_hapag_ng_panginoon
Sa Krus Mo At Pagkabuhay,Manoling Francisco,communion,JesCom (Jesuit Communications Foundation),https://www.jescom.ph / Jesuit Music Ministry licensing,sa_krus_mo_at_pagkabuhay
Santo (francisco),Manoling Francisco,meditation,JesCom (Jesuit Communications Foundation),https://www.jescom.ph / Jesuit Music Ministry licensing,santo_francisco
Santo (hontiveros),Eduardo Hontiveros,meditation,JesCom (Jesuit Communications Foundation),https://www.jescom.ph / Jesuit Music Ministry licensing,santo_hontiveros
"Santo, Santo, Santo (aquino)",Arnel Aquino,meditation,JesCom (Jesuit Communications Foundation),Jesuit Music Ministry via JesCom,santo_santo_santo_aquino
Sapagkat Sa'yo Ang Kaharian,Eduardo Hontiveros,communion,JesCom (Jesuit Communications Foundation),https://www.jescom.ph / Jesuit Music Ministry licensing,sapagkat_sa_yo_ang_kaharian
Si Kristo Ay Namatay,Eduardo Hontiveros,communion,JesCom (Jesuit Communications Foundation),https://www.jescom.ph / Jesuit Music Ministry licensing,si_kristo_ay_namatay
Take And Receive,Bukas Palad Ministry,offertory,JesCom (Jesuit Communications Foundation),Bukas Palad Music Ministry via JesCom,take_and_receive
Tanging Yaman,Manoling Francisco,offertory,JesCom (Jesuit Communications Foundation),https://www.jescom.ph / Jesuit Music Ministry licensing,tanging_yaman
Tinapay Ng Buhay,(none listed),communion,JesCom (Jesuit Communications Foundation),Manoling Francisco — JesCom,tinapay_ng_buhay
Your Heart Today,(none listed),communion,JesCom (Jesuit Communications Foundation),Manoling Francisco — JesCom,your_heart_today
"Bayan, Umapaw Sa Pag-asa",Ricky Manalo,entrance,OCP / OneLicense,Oregon Catholic Press — onelicense.net,bayan_umapaw_sa_pag_asa
Be Not Afraid,(none listed),communion,OCP / OneLicense,"Bob Dufford, SJ",be_not_afraid
City Of God,(none listed),recessional,OCP / OneLicense,Dan Schutte,city_of_god
Gift Of Finest Wheat,(none listed),offertory,OCP / OneLicense,Robert E. Kreutz / OCP,gift_finest_wheat
Glory and Praise to Our God,Dan Schutte,entrance,OCP / OneLicense,Oregon Catholic Press — onelicense.net,glory_praise
Go Make a Difference,(none listed),recessional,OCP / OneLicense,Steve Angrisano / Tom Tomaszek,go_make
"Here I Am, Lord",(none listed),entrance,OCP / OneLicense,Dan Schutte,here_i_am
"Lead Me, Lord",(none listed),recessional,OCP / OneLicense,John D. Becker,lead_me_lord
Make Me a Channel of Your PEace,(none listed),communion,OCP / OneLicense,Sebastian Temple,make_me_a_channel_of_your_peace
"One Bread, One Body",(none listed),"offertory, communion",OCP / OneLicense,"John Foley, SJ",one_bread_offertory
Sing A New Song,(none listed),entrance,OCP / OneLicense,Dan Schutte,sing_new_song
Sing To The Mountains,(none listed),entrance,OCP / OneLicense,"Bob Dufford, SJ",sing_to_the_mountains
Table Of Plenty,(none listed),entrance,OCP / OneLicense,Dan Schutte,table_of_plenty
You Are Near,Dan Schutte,communion,OCP / OneLicense,Oregon Catholic Press — onelicense.net,you_are_near
All The Ends Of The World,(none listed),recessional,OCP / OneLicense (verify),Often Bob Dufford — verify version,all_the_ends_of_the_world
How Lovely Is Your Dwelling Place,(none listed),communion,OCP or GIA / OneLicense (verify),Multiple settings exist — match your lyrics to publisher,how_lovely_is_your_dwelling_place
"Enter, Rejoice And Come In",(none listed),entrance,OneLicense / publisher of record (verify),Louise Ruspini setting common,enter_rejoice_and_come_in
Let Us Break Bread Together,(none listed),communion,Public domain spiritual (verify arrangement),African American spiritual,let_us_break_bread
Alleluia! Sing to Jesus,(none listed),recessional,Public domain text (verify arrangement),William C. Dix,alleluia_sing
Crown Him With Many Crowns,(none listed),entrance,Public domain text (verify arrangement),Bridges / Elvey,crown_him
Doxology (praise God From Whom All Blessings Flow),(none listed),meditation,Public domain text (verify arrangement),Thomas Ken,doxology
God of Our Fathers,(none listed),recessional,Public domain text (verify arrangement),Roberts / Warren,god_of_our_fathers
"Holy, Holy, Holy",(none listed),entrance,Public domain text (verify arrangement),Heber / Dykes,holy_holy_holy
"Jesus, My Lord, My God, My All",(none listed),communion,Public domain text (verify arrangement),Frederick Faber,jesus_my_lord
"Joyful, Joyful, We Adore Thee",(none listed),entrance,Public domain text (verify arrangement),Van Dyke / Beethoven,joyful_joyful
"Onward, Christian Soldiers",(none listed),recessional,Public domain text (verify arrangement),Baring-Gould / Sullivan,onward_christian
"Praise To The Lord, The Almighty",(none listed),entrance,Public domain text (verify arrangement),Neander / Winkworth,praise_to_lord
Soul of My Savior,(none listed),communion,Public domain text (verify arrangement),Anima Christi English hymn,soul_of_my_savior
Take My Life and Let It Be,(none listed),offertory,Public domain text (verify arrangement),Frances Havergal,take_my_life
We Give Thee But Thine Own,(none listed),offertory,Public domain text (verify arrangement),William W. How,we_give_thee
All Creatures Of Our God And King,(none listed),entrance,Public domain text/tune (verify arrangement),Lasst uns erfreuen — modern added verses may be copyrighted,all_creatures
"To Jesus Christ, Our Sovereign King",(none listed),recessional,WLP / OneLicense (verify),Martin B. Hellriegel — often WLP/GIA,to_jesus_christ_king
